State,No.,Facility Name,Full Address,Phone Number
Pulau Pinang,33,KD Permatang Rawa,"KD Permatang Rawa, JKR 828A, Lot 912, Mukim 8, Jalan Permatang Rawa, Bukit Mertajam, 14000, Seberang Perai Tengah, Pulau Pinang",04-5372541
Pulau Pinang,34,KD Permatang Sintok,"KD Permatang Sintok, Lot 2350, Mukim 8, Jalan Kepala Batas, Kepala Batas, 13200, Seberang Perai Utara, Pulau Pinang",04-5759136
Pulau Pinang,35,KD Permatang Tinggi,"KD Permatang Tinggi, JKR 2210, Lot 1104, Mukim 14, Permatang Tinggi, Bukit Mertajam, 14000, Seberang Perai Tengah, Pulau Pinang",04-5884202
Pulau Pinang,36,KD Permatang Tok Mahat,"KD Permatang Tok Mahat, Lot 523, Mukim 9, Jalan Sempadan,Permatang Tok Mahat, Nibong Tebal, 14300, Seberang Perai Selatan, Pulau Pinang",05-7171941
Pulau Pinang,37,KD Pinang Tunggal,"KD Pinang Tunggal, Lot 1459, Mukim 3, Jalan Pinang Tunggal, Tasek Gelugor, 13210, Seberang Perai Utara, Pulau Pinang",04-5736797
Pulau Pinang,38,KD Pokok Sena,"KD Pokok Sena, Lot 2771, Mukim 11, Jalan Pokok Sena, Kepala Batas, 13200, Seberang Perai Utara, Pulau Pinang",04-5759129
Pulau Pinang,39,KD Pondok Upeh,"KD Pondok Upeh, Lot 2558, Mukim 6, Jalan Pondok Upeh, Balik Pulau, 11000, Barat Daya, Pulau Pinang",04-8661723
Pulau Pinang,40,KD Pulau Aman,"KD Pulau Aman, Lot 49, Mukim 16, Pulau Aman, Simpang Ampat, 14100, Seberang Perai Selatan, Pulau Pinang",-
Pulau Pinang,41,KD Relau,"KD Relau, Lot 1004, Mukim 10, Jalan Paya Terubong, Bayan Lepas, 11900, Barat Daya, Pulau Pinang",04-6449230
Pulau Pinang,42,KD Sungai Ara,"KD Sungai Ara, Lot 2529, Mukim 12, Lorong Sg Ara 1, Bayan Lepas, 11900, Barat Daya, Pulau Pinang",04-6452488
Pulau Pinang,43,KD Sungai Bakau,"KD Sungai Bakau, Lot 1143, Mukim 10, Sg Bakau, Nibong Tebal, 14300, Seberang Perai Selatan, Pulau Pinang",04-5982978
Pulau Pinang,44,KD Sungai Batu,"KD Sungai Batu, Lot 1858, Mukim 11, Jalan Teluk Kumbar, Bayan Lepas, 11920, Barat Daya, Pulau Pinang",04-6495673
Pulau Pinang,45,KD Sungai Burung,"KD Sungai Burung, Lot 1843, Mukim H, Jalan Sungai Burung, Balik Pulau, 11000, Barat Daya, Pulau Pinang",04-8662060
Pulau Pinang,46,KD Sungai Duri,"KD Sungai Duri, Lot 517, Mukim 5, Jalan Sungai Duri, Sungai Bakap, 14200, Seberang Perai Selatan, Pulau Pinang",04-5829233
Pulau Pinang,47,KD Sungai Lembu,"KD Sungai Lembu, Lot 548, FRU 35, Mukim 18, Sungai Lembu, Bukit Mertajam, 14000, Seberang Perai Tengah, Pulau Pinang",04-5213689
Pulau Pinang,48,KD Sungai Pinang,"KD Sungai Pinang, Lot 1842, Mukim A, Jalan Sungai Pinang, Balik Pulau, 11010, Barat Daya, Pulau Pinang",04-8661726
Pulau Pinang,49,KD Sungai Puyu,"KD Sungai Puyu, Lot 1498, Mukim 14, Jalan Bagan Lalang, Butterworth, 13400, Seberang Perai Utara, Pulau Pinang",04-3240050
Pulau Pinang,50,KD Tanjung Berembang,"KD Tanjung Berembang, Lot 529, Mukim 9, Jalan Tanjung Berembang, Sg Acheh,
Nibong Tebal, 14300, Seberang Perai Selatan, Pulau Pinang",04-5939211
Pulau Pinang,51,KD Tasek,"KD Tasek, Lot 152, Mukim 2, Jalan Tasek, Simpang Ampat, 14100, Seberang Perai Selatan, Pulau Pinang",04-5884348
Pulau Pinang,52,KD Telok Air Tawar,"KD Telok Air Tawar, Lot 1768, Mukim 7, Jalan Telok Air Tawar, Butterworth, 13050, Seberang Perai Utara, Pulau Pinang",04-3515822
Pulau Pinang,53,KD Telok Kumbar,"KD Telok Kumbar, Lot 1838, Mukim 9, Jalan Telok Kumbar, Balik Pulau, 11920, Barat Daya, Pulau Pinang",04-6495606
Pulau Pinang,54,KD Thean Teik,"KD Thean Teik, Lot 2500, Mukim 13, Jalan Thean Teik, Ayer Itam, 11500, Timur Laut, Pulau Pinang",04-8276023
Pulau Pinang,55,KD Tok Bedu,"KD Tok Bedu, Lot 1358, Mukim 6, Jalan Pokok Machang, Tasek Gelugor, 13300, Seberang Perai Utara, Pulau Pinang",04-5733720
Pulau Pinang,56,KD Wellesley,"KD Wellesley, Lot 544, Mukim 5, Kg. Wellesley, Sungai Bakap, 14200, Seberang Perai Selatan, Pulau Pinang",04-5823233
Pulau Pinang,57,KK Air Itam,"KK Air Itam, Lot 323, Seksyen 3, Jalan Bukit Bendera, Air Itam, 11500, Timur Laut, Pulau Pinang",04-8283355
Pulau Pinang,58,KK Bandar Perda,"Klinik Kesihatan Bandar Perda, Jalan Perda Barat, Bandar Baru Perda, Bukit Mertajam, 14000 Seberang Perai Tengah, Pulau Pinang",04-5398970
Pulau Pinang,59,KK Bandar Tasik Mutiara,"KK Bandar Tasik Mutiara, Lot 8767 Lorong Tasik Mutiara 19/SS2 Bandar Tasik Mutiara, Simpang Ampat, 14120, Seberang Perai Selatan, Pulau Pinang",04-5079855
Pulau Pinang,60,KK Bayan Baru,"KK Bayan Baru, Jalan Tengah, Bayan Lepas, 11950, Barat Daya, Pulau Pinang",04-6425102
Pulau Pinang,61,KK Bayan Lepas,"KK Bayan Lepas, Lot 1157, Mukim 12, Jalan Dato Ismail Hashim, Bayan Lepas, 11900, Barat Daya, Pulau Pinang",04-6435434
Pulau Pinang,62,KK Berapit,"KK Berapit, Lot 89, Berapit, Bukit Mertajam, 14000, Seberang Perai Tengah, Pulau Pinang",04-5395400
Pulau Pinang,63,KK Bukit Bendera,"KK Bukit Bendera, Stesen Atas, Bukit Bendera, 11300, Timur Laut, Pulau Pinang",04-8299406
Pulau Pinang,64,KK Bukit Jambul,"KK Bukit Jambul, Blok D275 & D2759, Tingkat Bawah, Taman Bukit Jambul,
Bukit Jambul, 11900, Timur Laut, Pulau Pinang",04-6448521
Pulau Pinang,65,KK Bukit Minyak,"KK Bukit Minyak, Lot 106, Mukim 14, Jalan Bukit Minyak, Bukit Mertajam, 14000, Seberang Perai Tengah, Pulau Pinang",04-5024271/  04-5024172/ 04-5024284
Pulau Pinang,66,KK Bukit Panchor,"KK Bukit Panchor, Lot 1866, Mukim 7 Jalan Bukit Panchor, Nibong Tebal, 14300, Seberang Perai Selatan, Pulau Pinang",04-5935953
Pulau Pinang,67,KK Bukit Tengah,"KK Bukit Tengah, Lot 765, Mukim 11, Permatang Batu, Bukit Mertajam, 14000, Seberang Perai Tengah, Pulau Pinang",04-5372342
Pulau Pinang,68,KK Butterworth,"KK Butterworth, Lot 1696, Seksyen 4, Jalan Pantai, Butterworth, 12000, Seberang Perai Utara, Pulau Pinang",04-3233333
Pulau Pinang,69,KK Glugor,"KK Glugor, Lot 392, Jalan Akuarium, Gelugor, 11700, Timur Laut, Pulau Pinang",04-6580861
Pulau Pinang,70,KK Jalan Angsana,"KK Jalan Angsana, No 8, Jalan Angsana, Bandar Baru Air Itam, Air Itam, 11500, Timur Laut, Pulau Pinang",04-8266267
Pulau Pinang,71,KK Jalan Macalister,"KK Jalan Macalister, Lot 1762, No 56, Jalan Macalister, Georgetown, 10400, Timur Laut, Pulau Pinang",04-2289610
Pulau Pinang,72,KK Jalan Perak,"KK Jalan Perak, Jalan Perak, Jelutong, 11600, Timur Laut, Pulau Pinang",04-2812033
Pulau Pinang,73,KK Kepala Batas,"KK Kepala Batas, Lot 1466, Mukim 16, Jalan Tun Hamdan Sheikh Tahir, Kepala Batas, 13200, Seberang Perai Utara, Pulau Pinang",04-5753355/ 04-5741768
Pulau Pinang,74,KK Kuala Muda,"KK Kuala Muda, Lot 1794, Mukim 1, JKR 1041, Kuala Muda, Penaga, 13110, Seberang Perai Utara, Pulau Pinang",04-5793405
Pulau Pinang,75,KK Kubang Semang,"KK Kubang Semang, Lot 807, Mukim 5, Jalan Kubang Semang, Bukit Mertajam, 14400, Seberang Perai Tengah, Pulau Pinang",04-5390654
Pulau Pinang,76,KK Lebuh Muntri,"KK Lebuh Muntri, 36, Lebuh Muntri, Georgetown, 10200, Timur Laut, Pulau Pinang",04-2620024
Pulau Pinang,77,KK Machang Bubuk,"KK Machang Bubuk, No FR 30, Lot 858, Mukim 16, Perkampungan Machang Bubuk, 
Bukit Mertajam, 14000, Seberang Perai Tengah, Pulau Pinang",04-5511930
Pulau Pinang,78,KK Mak Mandin,"KK Mak Mandin, Lot 2882, Seksyen 3, Jalan Mak Mandin, Butterworth, 13400, Seberang Perai Utara, Pulau Pinang",04-3244685
Pulau Pinang,79,KK Nibong Tebal,"KK Nibong Tebal, Lot 320, Mukim 17, Nibong Tebal, 14300, Seberang Perai Selatan, Pulau Pinang",04-5931355
Pulau Pinang,80,KK Penaga,"KK Penaga, Lot 3001, Mukim 5, Penaga, 13100, Seberang Perai Utara, Pulau Pinang",04-5791718 / 04-5751032
Pulau Pinang,81,KK Perai,"KK Perai, Lot 239C, Jalan Baru, Perai, 13600, Seberang Perai Tengah, Pulau Pinang",04-3901477/ 04-3970146
Pulau Pinang,82,KK Permatang Pauh,"KK Permatang Pauh, PWD 662, Jalan Sama Gagah, Permatang Pauh, 13500, Seberang Perai Tengah, Pulau Pinang",04-3981380
Pulau Pinang,83,KK Seberang Jaya,"KK Seberang Jaya, Lot 340, Jalan Perpustakaan,  Perai, 13700, Seberang Perai Tengah, Pulau Pinang",04-3900264/ 04-3901842/           04-3906892/ 04-3906879
Pulau Pinang,84,KK Sungai Acheh,"KK Sungai Acheh, Lot 1376, Mukim 10 Sungai Acheh, Nibong Tebal, 14310, Seberang Perai Selatan, Pulau Pinang",04-5981733
Pulau Pinang,85,KK Sungai Bakap,"KK Sungai Bakap, Sungai Bakap , 14200, Seberang Perai Selatan, Pulau Pinang",04-5824205
Pulau Pinang,86,KK Sungai Dua (SPU),"KK Sungai Dua (SPU), Lot 2349, Mukim 11, Jalan Pengkalan Machang, Sungai Dua, 13800, Seberang Perai Utara, Pulau Pinang",04-3564355 / 04-3566840
Pulau Pinang,87,KK Sungai Dua (TL),"KK Sungai Dua (TL), Lot 2254, Jalan Sungai Dua, Gelugor, 11700, Timur Laut, Pulau Pinang",04-6422201
Pulau Pinang,88,KK Tanjung Bungah,"KK Tanjung Bungah, Lot 1835, Jalan Lembah Permai, Tanjung Bungah, 11200, Timur Laut, Pulau Pinang",04-8990953
Pulau Pinang,89,KK Tasek Gelugor,"KK Tasek Gelugor, Lot 1944, Mukim 12, Jalan Hashim Awang, Tasek Gelugor, 13300, Seberang Perai Utara, Pulau Pinang",04-5735025/ 04-5735031/ 04-5737255
Pulau Pinang,90,KK Teluk Bahang,"KK Teluk Bahang, Teluk Bahang, 11050, Barat Daya, Pulau Pinang",04-8851951
Pulau Pinang,91,KK UTC Pulau Pinang,"KK UTC Pulau Pinang, 2B-2.06, UTC Komtar, 10590, Timur Laut, Pulau Pinang",-
Pulau Pinang,92,KK Valdor,"KK Valdor, Lot 828, Mukim 15, Jalan 6, Kg. Valdor, Sungai Bakap, 14200, Seberang Perai Selatan, Pulau Pinang",04-5826535
Pulau Pinang,93,KKIA Ayer Puteh,"KKIA Ayer Puteh, Lot 312, Mukim E, JKR 2761 (P), Air Putih , 11000, Barat Daya, Pulau Pinang",04-8668350
Pulau Pinang,94,KKIA Bukit Mertajam,"KKIA Bukit Mertajam, D49, Jalan Kulim, Bukit Mertajam, 14000, Seberang Perai Tengah, Pulau Pinang",04-5382389
Pulau Pinang,95,KKIA Rifle Range,"KKIA Rifle Range, Unit A-G-18, Flat Padang Tembak,  Blok A, Rumah Pangsa Rifle Range, Ayer Itam, 11500, Timur Laut, Pulau Pinang",04-8296355
Pulau Pinang,96,KKIA Taman Tun Sardon,"KKIA Taman Tun Sardon, Unit A-G-9 & A-G-10 Rumah Pangsa Taman Tun Sardon, Gelugor, 11700, Timur Laut, Pulau Pinang",04-6571592
Pulau Pinang,97,KKIA Tanjong Tokong,"KKIA Tanjong Tokong, Unit A-G-3 & A-G-4 Rumah Pangsa Tanjong Tokong UDA, Fasa 1,  Bandar Tanjung Pinang, 10470, Timur Laut, Pulau Pinang",04-8993727
Perak,1,KD Air Ganda,"KD Air Ganda, Kampung Ganda Temengor, Gerik, Hulu Perak, 33300, Hulu Perak, Perak",05-7917401
Perak,2,KD Air Kala,"KD Air Kala, Kampung Ayer Kala, Lenggong, Hulu Perak, 33420, Hulu Perak, Perak",05-7981092
Perak,3,KD Air Kuning,"KD Air Kuning, Air Kuning, Tapah, 31920, Batang Padang, Perak",05-4789450
Perak,4,KD Air Panas,"KD Air Panas, Kampung Ayer Panas, Gerik, 33300, Hulu Perak, Perak",05-7917804
Perak,5,KD Air Tawar Batu 16,"KD Air Tawar Batu 16, Batu 16, Ayer Tawar, 32400, Manjung, Perak",05-6690073
Perak,6,KD Anak Kurau,"KD Anak Kurau, Kampung Anak Kurau, Batu Kurau, 34500, Larut dan Matang, Perak",05-8882073
Perak,7,KD Ara Panjang,"KD Ara Panjang, Ara Panjang, Manong, 33800, Kuala Kangsar, Perak",05-7431579
Perak,8,KD Ayer Itam,"KD Ayer Itam, Kampung Ayer Itam, Ayer Itam, Hilir Perak, 36700, Hilir Perak, Perak",05-6562054
Perak,9,KD Ayer Putih,"KD Ayer Putih, Pekan Ayer Putih, Pokok Assam, Larut, Matang & Selama, 34700, Larut dan Matang, Perak",05-8915717
Perak,10,KD Bagan Baru,"KD Bagan Baru, Bagan Baru, Redang Panjang, 34510, Larut dan Matang, Perak",05-8803099
Perak,11,KD Bagan Lalang,"KD Bagan Lalang, Kampung Bagan Lalang,  Hutan Melintang, Hilir Perak, 36400, Hilir Perak, Perak",05-6414054
Perak,12,KD Bagan Pasir,"KD Bagan Pasir, Batu 20, Selekoh, 36200, Hilir Perak, Perak",05-6487394
Perak,13,KD Bagan Pasir Laut,"KD Bagan Pasir Laut, Bagan Pasir Laut, Selekoh, 36200, Hilir Perak, Perak",05-6487402
Perak,14,KD Bagan Tiang,"KD Bagan Tiang, Bagan Tiang, Tanjung Piandang, 34250, Kerian, Perak",-
Perak,15,KD Balik Bukit Semanggol,"KD Balik Bukit Semanggol, Jalan Kerian, Gunung Semanggol, 34400, Kerian, Perak",011-65722155
Perak,16,KD Balun Bidai,"KD Balun Bidai, Kampung Gajah, Perak Tengah, 36800, Perak Tengah, Perak",-
Perak,17,KD Bandariang,"KD Bandariang, Bandariang, Gerik, Hulu Perak, 33300, Hulu Perak, Perak",04-7913089
Perak,18,KD Batu 10 Lekir,"KD Batu 10 Lekir, Batu 10, Lekir, 32020, Manjung, Perak",05-6792450
Perak,19,KD Batu 12,"KD Batu 12, Batu 12, Jalan Bidor, Langkap, 36700, Hilir Perak, Perak",05-6562051
Perak,20,KD Batu 3,"KD Batu 3, Temoh, Tapah, 35350, Batang Padang, Perak",05-4017502
Perak,21,KD Batu 3 Segari,"KD Batu 3 Segari, Batu 3 Segari, Lumut, 32300, Manjung, Perak",05-6773863
Perak,22,KD Batu 38,"KD Batu 38, Jalan Keretapi, Alor Pongsu, 34300, Kerian, Perak",-
Perak,23,KD Batu 6,"KD Batu 6, Jalan Pahang, Tapah, 35300, Batang Padang, Perak",05-4010101
Perak,24,KD Batu 8 Segari,"KD Batu 8 Segari, Kampung Batu 8 Segari, Lumut, 32300, Manjung, Perak",05-6773860
Perak,25,KD Batu 8 Tanjung Tualang,"KD Batu 8 Tanjung Tualang, Jalan Tanjung Tualang, Tanjung Tualang, 31800, Kinta, Perak",05-3702310
Perak,26,KD Batu Hampar,"KD Batu Hampar, Batu 26 Jalan Beruas, Sg Kerang, 32700, Larut dan Matang, Perak",05-6775346
Perak,27,KD Batu Melintang,"KD Batu Melintang, Kampung Batu Melintang, Tapah, 35000, Batang Padang, Perak",05-4010000
Perak,28,KD Bawong,"KD Bawong, Jalan Lasah, Sg. Siput (U), 31100, Kuala Kangsar, Perak",05-5940169
Perak,29,KD Behrang Stesyen,"KD Behrang Stesyen, Behrang Stesen, Tanjung Malim, 35950, Muallim, Perak",05-4543405
Perak,30,KD Behrang Ulu,"KD Behrang Ulu, Behrang Hulu, 35950, Muallim, Perak",05-4541861
Perak,31,KD Belanja Kiri,"KD Belanja Kiri, Kampung Belanja Kiri, Parit, 32800, Perak Tengah, Perak",05-3774108
Perak,32,KD Belia Pondok Tanjung,"KD Belia Pondok Tanjung, Rancangan Khas Belia, Selama, 34010, Larut dan Matang, Perak",05-8396778
Perak,33,KD Beluru,"KD Beluru, Kampung Beluru, Enggor, 33600, Kuala Kangsar, Perak",05-7774588
Perak,34,KD Bemban,"KD Bemban, Jalan Bemban, Batu Gajah, 31000, Kinta, Perak",05-3667300
Perak,35,KD Beng,"KD Beng, Kampung Beng, Lenggong, 33400, Hulu Perak, Perak",05-7960122
Perak,36,KD Benting,"KD Benting, Kampung Benting, Manong, 33800, Kuala Kangsar, Perak",05-7432113
Perak,37,KD Bota Kanan,"KD Bota Kanan, Bota Kanan, Bota, 32600, Perak Tengah, Perak",05-3761770
Perak,38,KD Bukit Bertam,"KD Bukit Bertam,  Bukit Bertam, Sungai Bayor, 34110, Larut dan Matang, Perak",05-4041923
Perak,39,KD Bukit Chupak,"KD Bukit Chupak, Bukit Chupak, Parit, 32800, Perak Tengah, Perak",05-3774107
Perak,40,KD Bukit Gantang,"KD Bukit Gantang, Kampung Bukit Gantang,  Changkat Jering, 34850, Larut dan Matang, Perak",05-8553445
Perak,41,KD Bukit Merah,"KD Bukit Merah, Bukit Merah, Gunung Semanggol, 34400, Kerian, Perak",-
Perak,42,KD Bukit Pekan,"KD Bukit Pekan, Kampung Bukit Pekan, Kampar, 31900, Kampar, Perak",05-4664562
Perak,43,KD Bukit Sapi,"KD Bukit Sapi, Bukit Sapi, Lenggong, 33400, Hulu Perak, Perak",05-7960118
Perak,44,KD Buluh Akar,"KD Buluh Akar, Buluh Akar, Parit, 32800, Perak Tengah, Perak",05-7432216
Perak,45,KD Changkat Ibol,"KD Changkat Ibol, Kampung Changkat Ibol, Changkat Jering, 34850, Larut dan Matang, Perak",05-8553440
Perak,46,KD Changkat Jong,"KD Changkat Jong, Jalan Changkat Jong, Teluk Intan, 36000, Hilir Perak, Perak",05-6237084
Perak,47,KD Changkat Larah,"KD Changkat Larah, Kampung Changkat Larah,  Taiping, 34600, Larut dan Matang, Perak",05-8839166
Perak,48,KD Changkat Lobak,"KD Changkat Lobak, Changkat Lobak, Alor Pongsu, 34300, Kerian, Perak",-
Perak,49,KD Changkat Sulaiman,"KD Changkat Sulaiman, Changkat Sulaiman, Sungkai, 35600, Batang Padang, Perak",05-4410076
Perak,50,KD Changkat Tin,"KD Changkat Tin, Tanjung Tualang, 31800, Kinta, Perak",05-3600551
Perak,51,KD Chegar Galah,"KD Chegar Galah, Chegar Galah, Sauk, 33500, Kuala Kangsar, Perak",05-7512378
Perak,52,KD Chenderiang,"KD Chenderiang, Chenderiang, Tapah, 35300, Batang Padang, Perak",05-4161676
Perak,53,KD Chendrong,"KD Chendrong, Jalan Tanjung Tualang, Batu Gajah, 31800, Kinta, Perak",05-3702293
Perak,54,KD Chepor,"KD Chepor, Kampung Chepor, Lenggong, 33400, Hulu Perak, Perak",05-7676413
Perak,55,KD Chikus,"KD Chikus, Chikus, Chenderung Balai, 36600, Hilir Perak, Perak",05-6595212
Perak,56,KD Chui Chak,"KD Chui Chak, Kampung Chui Chak, Langkap, 36700, Hilir Perak, Perak",05-6595213
Perak,57,KD Felcra Lekir,"KD Felcra Lekir, Felcra Lekir, Sitiawan, 32000, Manjung, Perak",05-6926225
Perak,58,KD Felda Lasah,"KD Felda Lasah, Lasah, Sungai Siput, 31100, Kuala Kangsar, Perak",05-5911486
Perak,59,KD Gelok,"KD Gelok, Kampung Gelok, Lenggong, 33400, Hulu Perak, Perak",05-7676492
Perak,60,KD Gunung Besout,"KD Gunung Besout, Felda Gunung Besout, Sungkai, 35600, Batang Padang, Perak",05-6235135
Perak,61,KD Gunung Panjang,"KD Gunung Panjang, Kampung Gunung Panjang, Gopeng, 31600, Kampar, Perak",05-3596344
Perak,62,KD Hujung Matang,"KD Hujung Matang, Kampung Hujung Matang, Kuala Sepetang, 34750, Larut dan Matang, Perak",05-8473023
Perak,63,KD Jalan Gula,"KD Jalan Gula, Jalan Gula, Simpang Ampat, Semanggol, 34400, Kerian, Perak",-
Perak,64,KD Jalan Ketoyong,"KD Jalan Ketoyong, Jalan Ketoyong, Tanjung Malim, 35900, Muallim, Perak",05-4596441
Perak,65,KD Jalong,"KD Jalong, Kampung Jalong, Sungai Siput, 31100, Kuala Kangsar, Perak",05-5975150
Perak,66,KD Jamuan,"KD Jamuan, Kampung Jamuan, Kuala Kangsar, 33000, Kuala Kangsar, Perak",05-7774585
Perak,67,KD Jelai,"KD Jelai, Kampung Jelai, Batu Kurau, 34520, Larut dan Matang, Perak",05-8882078
Perak,68,KD Jeram,"KD Jeram, Kampung Jeram, Kampar, 31900, Kampar, Perak",05-4774988
Perak,69,KD Jeram Mengkuang,"KD Jeram Mengkuang, Jeram Mengkuang, Bidor, 35500, Batang Padang, Perak",05-4332241
Perak,70,KD Jerlun,"KD Jerlun, Kampung Jerlun, Kuala Kangsar, 33000, Kuala Kangsar, Perak",05-7773067
Perak,71,KD Kampung Bali,"KD Kampung Bali, Kg Bali, Tronoh, 31750, Kinta, Perak",05-3655064
Perak,72,KD Kampung Banir,"KD Kampung Banir, Kampung Banir, Tapah, 35350, Batang Padang, Perak",03-4789276
Perak,73,KD Kampung Banjar,"KD Kampung Banjar, Kampung Banjar, Teluk Intan, 36000, Hilir Perak, Perak",05-6234662
Perak,74,KD Kampung Banjar,"KD Kampung Banjar, Kampung Banjar, Bruas, 32700, Manjung, Perak",05-6727323
Perak,75,KD Kampung Baru,"KD Kampung Baru, Kampung Baru, Sitiawan, 32000, Manjung, Perak",05-6921159
Perak,76,KD Kampung Bikam,"KD Kampung Bikam, Kampung Bikam, Sungkai, 35600, Batang Padang, Perak",05-4388467
Perak,77,KD Kampung Dato' Sri Kamaruddin,"KD Kampung Dato' Sri Kamaruddin, Kampung Dato' Sri Kamarudin, Seri Manjung, 32040, Manjung, Perak",05-6882711
Perak,78,KD Kampung Dendang,"KD Kampung Dendang, Kampung Dendang, Bruas, 32700, Manjung, Perak",05-6740500
Perak,79,KD Kampung Dew,"KD Kampung Dew, Kampung Dew, Simpang Ampat Semanggol, 34400, Kerian, Perak",-
Perak,80,KD Kampung Guntung,"KD Kampung Guntung, Kampung Guntung, Sungkai, 35600, Batang Padang, Perak",05-4388464
Perak,81,KD Kampung Jambai,"KD Kampung Jambai, Kampung Jambai, Tapah, 35000, Batang Padang, Perak",05-4275859
Perak,82,KD Kampung Jaya,"KD Kampung Jaya, Kampung Jaya, Kuala Slim, Slim River, 35800, Muallim, Perak",05-4526552
Perak,83,KD Kampung Kayan,"KD Kampung Kayan, Kampung Kayan, Lekir, 32020, Manjung, Perak",05-6792548
Perak,84,KD Kampung Kedah,"KD Kampung Kedah, Kampung Kedah, Bruas, 32700, Manjung, Perak",05-6727319
Perak,85,KD Kampung Kedah (Bagan Serai),"KD Kampung Kedah (Bagan Serai), Bagan Serai, Parit Buntar, 34300, Kerian, Perak",-
Perak,86,KD Kampung Koh,"KD Kampung Koh, Kampung Koh, Sitiawan, 32000, Manjung, Perak",05-6926519
Perak,87,KD Kampung Masjid,"KD Kampung Masjid, Kampung Mesjid, Redang Panjang, 34510, Larut dan Matang, Perak",05-8803848
Perak,88,KD Kampung Panchor,"KD Kampung Panchor, Kampung Panchor, Pantai Remis, 34900, Manjung, Perak",05-6773895
Perak,89,KD Kampung Pasir,"KD Kampung Pasir, Kampung Pasir, Slim River, 35800, Muallim, Perak",05-4526640
Perak,90,KD Kampung Perak Batu Kurau,"KD Kampung Perak Batu Kurau, Kampung Perak Batu Kurau, Batu Kurau, 34500, Larut dan Matang, Perak",05-8882087
Perak,91,KD Kampung Perak Matang,"KD Kampung Perak Matang, Kampung Perak Matang, Kuala Sepetang, 34750, Larut dan Matang, Perak",05-8479960
Perak,92,KD Kampung Pinang,"KD Kampung Pinang, Kampung Pinang, Kamunting, 34600, Larut dan Matang, Perak",05-8075519
Perak,93,KD Kampung Poh,"KD Kampung Poh, Kampung Poh, Bidor, 35500, Batang Padang, Perak",05-4346855
Perak,94,KD Kampung Raja Hitam,"KD Kampung Raja Hitam, Kampung Raja Hitam, Air Tawar, 32400, Manjung, Perak",05-6690078
Perak,95,KD Kampung Repoh,"KD Kampung Repoh, Kampung Repoh, Batu Kurau, 34500, Larut dan Matang, Perak",05-8882077
Perak,96,KD Kampung Sahom,"KD Kampung Sahom, Kampung Sahom, Malim Nawar, 31700, Kampar, Perak",05-4652410
Perak,97,KD Kampung Seri Rahmat,"KD Kampung Seri Rahmat, No. 5736, Kampung Tersusun Seri Rahmat, Batu Gajah, 31000, Kinta, Perak",05-3667682
Perak,98,KD Kampung Sitiawan,"KD Kampung Sitiawan, Kampung Sitiawan, 32000, Manjung, Perak",05-6926516
Perak,99,KD Kampung Tasek,"KD Kampung Tasek, Kampung Tasek, Pengkalan Hulu, 33100, Hulu Perak, Perak",04-4770585
Perak,100,KD Kampung Telok Kecil,"KD Kampung Telok Kecil, Kampung Telok Kecil, Pangkor, 32300, Manjung, Perak",05-6853907
Perak,101,KD Kati,"KD Kati, Sauk, 33020, Kuala Kangsar, Perak",05-7521486
Perak,102,KD Kedai Dua,"KD Kedai Dua, Kedai Dua, Kuala Kurau, 34350, Kerian, Perak",-
Perak,103,KD Kelian Intan,"KD Kelian Intan, Kampung Kelian Intan, Pengkalan Hulu, 33100, Hulu Perak, Perak",04-4770573
Perak,104,KD Kenang,"KD Kenang, Kampung Kenang, Sungai Siput, 31100, Kuala Kangsar, Perak",05-5940170
Perak,105,KD Kerunai,"KD Kerunai, Kampung Kerunai, Gerik, 33300, Hulu Perak, Perak",05-7917806
Perak,106,KD Kg Cheh,"KD Kg Cheh, Kampung Cheh, Changkat Jering, 34850, Larut dan Matang, Perak",05-8553441
Perak,107,KD Kg Selabak,"KD Kg Selabak, Kampung Selabak, Jalan Dato' Muhammad, Batu 3, Teluk Intan, 36000, Hilir Perak, Perak",05-6234675
Perak,108,KD Kota Lama Kanan,"KD Kota Lama Kanan, Kota Lama Kanan, Karai, 33040, Kuala Kangsar, Perak",05-7774584
Perak,109,KD Kota Lama Kiri,"KD Kota Lama Kiri, Kota Lama Kiri, 33000, Kuala Kangsar, Perak",05-7774586
Perak,110,KD Kota Setia,"KD Kota Setia, Mukim Kota Setia, Teluk Intan, 36000, Perak Tengah, Perak",05-6215273
Perak,111,KD Kota Tampan,"KD Kota Tampan, Kampung Kota Tampan, Lenggong, 33400, Hulu Perak, Perak",05-7676493
Perak,112,KD Kuak,"KD Kuak, Pekan Kuak, Lenggong, 33400, Hulu Perak, Perak",05-7512395
Perak,113,KD Kuak Luar,"KD Kuak Luar, Kampung Kuak Luar, Pengkalan Hulu, 33100, Hulu Perak, Perak",04-4770582
Perak,114,KD Kuala Kenering,"KD Kuala Kenering, Kuala Kenering, Lawin, 33410, Hulu Perak, Perak",05-7981093
Perak,115,KD Kuala Rui,"KD Kuala Rui, Kampung Kuala Rui, Gerik, 33300, Hulu Perak, Perak",05-7917807
Perak,116,KD Kuala Trong,"KD Kuala Trong, Kampung Kuala Trong, Trong, 34800, Larut dan Matang, Perak",05-8571816
Perak,117,KD Kubu Gajah,"KD Kubu Gajah, Pekan Kubu Gajah, Selama, 34100, Larut dan Matang, Perak",05-8391085
